schema,schema_version,record_id,entity_class,status,work_id,resource_id,edition_id,locale,created_at,responsible_workflow,supersedes,concept_code,name_en,name_id,prerequisite_concept_ids,taxonomy_path,evidence
r014.backend.record,1.0.0,ttp.concept.binary_representation,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,binary_representation,binary representation,representasi biner,"[""ttp.concept.base_representation""]",mathematics/number-theory/binary_representation,"{""path"":""qa/frozen-boundaries/boundary4/yaintt-id.tex"",""target_sha256"":""6579069bd8ca959042eaeba5b743d5eb4a3ed3e58828e55a827a30f0b0066859""}"
r014.backend.record,1.0.0,ttp.concept.bit,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,bit,bit / binary digit,bit / digit biner,"[""ttp.concept.binary_representation"",""ttp.concept.digit""]",mathematics/number-theory/bit,"{""path"":""qa/frozen-boundaries/boundary4/yaintt-id.tex"",""target_sha256"":""6579069bd8ca959042eaeba5b743d5eb4a3ed3e58828e55a827a30f0b0066859""}"
r014.backend.record,1.0.0,ttp.concept.brute_force_attack,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,brute_force_attack,brute-force attack,serangan brute force,[],computer-science/cryptography/brute_force_attack,"{""notes"":""Trying every possible key; retain the common loan phrase without an internal hyphen."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.brute_force_attack""}"
r014.backend.record,1.0.0,ttp.concept.caesar_cipher,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,caesar_cipher,Caesar cipher,cipher Caesar,"[""ttp.concept.congruence""]",computer-science/cryptography/caesar_cipher,"{""notes"":""A monoalphabetic shift cipher; system name `kriptosistem Caesar`."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.caesar_cipher""}"
r014.backend.record,1.0.0,ttp.concept.caesar_cracker,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,caesar_cracker,Caesar cracker,pemecah Caesar,"[""ttp.concept.caesar_cipher"",""ttp.concept.total_square_error""]",computer-science/cryptography/caesar_cracker,"{""notes"":""Automatic selection of the shift minimizing square error."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.caesar_cracker""}"
r014.backend.record,1.0.0,ttp.concept.cardinality,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,cardinality,cardinality,kardinalitas,[],mathematics/number-theory/cardinality,"{""path"":""qa/frozen-boundaries/boundary11/yaintt-id.tex"",""target_sha256"":""cccf9bac270237c36545b61973c49e02afc3d19a5828c7a9dfb1fed524ec9a53""}"
r014.backend.record,1.0.0,ttp.concept.cartesian_product,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,cartesian_product,Cartesian product,hasil kali Kartesius,[],mathematics/number-theory/cartesian_product,"{""path"":""qa/frozen-boundaries/boundary11/yaintt-id.tex"",""target_sha256"":""cccf9bac270237c36545b61973c49e02afc3d19a5828c7a9dfb1fed524ec9a53""}"
r014.backend.record,1.0.0,ttp.concept.certificate_authority,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,certificate_authority,certificate authority (CA),otoritas sertifikat (CA),"[""ttp.concept.digital_signature"",""ttp.concept.identity_key_binding""]",computer-science/cryptography/certificate_authority,"{""notes"":""Trusted party that signs certificates under a stated verification policy."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""pki.certificate_authority""}"
r014.backend.record,1.0.0,ttp.concept.certification_path,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,certification_path,certification path / certificate chain,jalur sertifikasi / rantai sertifikat,"[""ttp.concept.digital_certificate"",""ttp.concept.trust_anchor""]",computer-science/cryptography/certification_path,"{""notes"":""Validated certificate sequence ending at an independently trusted anchor."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""pki.certification_path""}"
r014.backend.record,1.0.0,ttp.concept.challenge_distribution,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,challenge_distribution,challenge distribution,distribusi tantangan,[],computer-science/cryptography/challenge_distribution,"{""notes"":""Distribution used to sample the hidden input for a preimage-resistance experiment."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.challenge_distribution""}"
r014.backend.record,1.0.0,ttp.concept.change_of_base_formula,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,change_of_base_formula,change-of-base formula,rumus perubahan basis,"[""ttp.concept.index_relative"",""ttp.concept.modular_inverse""]",mathematics/number-theory/change_of_base_formula,"{""notes"":""Exercise term for converting indices between two primitive-root bases."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""algebra.change_of_base_formula""}"
r014.backend.record,1.0.0,ttp.concept.chinese_remainder_theorem,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,chinese_remainder_theorem,Chinese Remainder Theorem,Teorema Sisa Cina,"[""ttp.concept.congruence"",""ttp.concept.modulo"",""ttp.concept.pairwise_relatively_prime""]",mathematics/number-theory/chinese_remainder_theorem,"{""path"":""qa/frozen-boundaries/boundary7/yaintt-id.tex"",""target_sha256"":""8557e99ec0cc12ece98cb3a28706676d21d8c0526f526034a3178742acee5a79""}"
r014.backend.record,1.0.0,ttp.concept.cipher,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,cipher,cipher,cipher / algoritme sandi,[],computer-science/cryptography/cipher,"{""notes"":""Retain `cipher` as the technical headword and gloss it on first use."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.cipher""}"
r014.backend.record,1.0.0,ttp.concept.ciphertext,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,ciphertext,ciphertext,cipherteks / teks sandi,[],computer-science/cryptography/ciphertext,"{""notes"":""Introduce both attested forms together; `cipherteks` is the compact running-text form."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.ciphertext""}"
r014.backend.record,1.0.0,ttp.concept.class_representative,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,class_representative,class representative,wakil kelas ekuivalensi,"[""ttp.concept.equivalence_class""]",mathematics/number-theory/class_representative,"{""path"":""qa/frozen-boundaries/boundary10/yaintt-id.tex"",""target_sha256"":""e2eb275565a11f04e44c4009a3dae2df7af1f8a7ea05b24ef7e30037ee2dc2a8""}"
r014.backend.record,1.0.0,ttp.concept.collision,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,collision,collision,tumbukan,[],computer-science/cryptography/collision,"{""notes"":""A pair of distinct inputs with the same hash output."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.collision""}"
r014.backend.record,1.0.0,ttp.concept.collision_resistance,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,collision_resistance,collision resistance,ketahanan tumbukan,[],computer-science/cryptography/collision_resistance,"{""notes"":""Infeasibility of finding distinct inputs with equal hashes."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.collision_resistance""}"
r014.backend.record,1.0.0,ttp.concept.common_divisor,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,common_divisor,common divisor,pembagi bersama,"[""ttp.concept.divisibility"",""ttp.concept.divisor""]",mathematics/number-theory/common_divisor,"{""path"":""qa/frozen-boundaries/boundary5/yaintt-id.tex"",""target_sha256"":""a1e4f897c579852ae201e59f20538883cff4c07575a128ddfc24b6b19e2334d1""}"
r014.backend.record,1.0.0,ttp.concept.commutativity,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,commutativity,commutativity,komutativitas,"[""ttp.concept.binary_operation""]",mathematics/number-theory/commutativity,"{""path"":""qa/frozen-boundaries/boundary3/yaintt-id.tex"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}"
r014.backend.record,1.0.0,ttp.concept.composite,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,composite,composite number,bilangan komposit,"[""ttp.concept.prime"",""ttp.concept.divisibility""]",mathematics/number-theory/composite,"{""notes"":""A natural number greater than 1 that is not prime."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""nt.composite""}"
r014.backend.record,1.0.0,ttp.concept.computational_complexity,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,computational_complexity,computational complexity,kompleksitas komputasi,[],computer-science/cryptography/computational_complexity,"{""notes"":""Standard field name."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""cs.computational_complexity""}"
r014.backend.record,1.0.0,ttp.concept.confidentiality,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,confidentiality,confidentiality,kerahasiaan,[],computer-science/cryptography/confidentiality,"{""notes"":""Only the intended recipient can obtain the message content."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""security.confidentiality""}"
r014.backend.record,1.0.0,ttp.concept.congruence,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,congruence,congruence,kongruensi,"[""ttp.concept.divisibility"",""ttp.concept.integer""]",mathematics/number-theory/congruence,"{""path"":""qa/frozen-boundaries/boundary7/yaintt-id.tex"",""target_sha256"":""8557e99ec0cc12ece98cb3a28706676d21d8c0526f526034a3178742acee5a79""}"
r014.backend.record,1.0.0,ttp.concept.congruence_class,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,congruence_class,congruence class,kelas kongruensi,"[""ttp.concept.congruence"",""ttp.concept.modulo""]",mathematics/number-theory/congruence_class,"{""path"":""qa/frozen-boundaries/boundary7/yaintt-id.tex"",""target_sha256"":""8557e99ec0cc12ece98cb3a28706676d21d8c0526f526034a3178742acee5a79""}"
r014.backend.record,1.0.0,ttp.concept.coset,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,coset,coset,koset,"[""ttp.concept.cyclic_subgroup""]",mathematics/number-theory/coset,"{""notes"":""A translate `x\\left<a\\right>` of the cyclic subgroup."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""algebra.coset""}"
r014.backend.record,1.0.0,ttp.concept.cryptanalysis,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,cryptanalysis,cryptanalysis,kriptanalisis,[],mathematics/number-theory/cryptanalysis,"{""path"":""qa/frozen-boundaries/boundary3/yaintt-id.tex"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}"
r014.backend.record,1.0.0,ttp.concept.cryptographic_hash_function,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,cryptographic_hash_function,cryptographic hash function,fungsi hash kriptografis,"[""ttp.concept.digital_signature""]",computer-science/cryptography/cryptographic_hash_function,"{""notes"":""Maps arbitrary-length bit strings to fixed-length bit strings under three computational resistance requirements."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.cryptographic_hash_function""}"
r014.backend.record,1.0.0,ttp.concept.cryptographic_salt,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,cryptographic_salt,cryptographic salt,salt kriptografis,[],computer-science/cryptography/cryptographic_salt,"{""notes"":""Retain the established technical loan `salt` and explain its random-data role."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.cryptographic_salt""}"
r014.backend.record,1.0.0,ttp.concept.cryptography,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,cryptography,cryptography,kriptografi,[],mathematics/number-theory/cryptography,"{""path"":""qa/frozen-boundaries/boundary3/yaintt-id.tex"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}"
r014.backend.record,1.0.0,ttp.concept.cryptology,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,cryptology,cryptology,kriptologi,[],mathematics/number-theory/cryptology,"{""path"":""qa/frozen-boundaries/boundary3/yaintt-id.tex"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}"
r014.backend.record,1.0.0,ttp.concept.cryptosystem,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,cryptosystem,cryptosystem,kriptosistem,[],mathematics/number-theory/cryptosystem,"{""path"":""qa/frozen-boundaries/boundary3/yaintt-id.tex"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}"
r014.backend.record,1.0.0,ttp.concept.cyclic_subgroup,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,cyclic_subgroup,cyclic subgroup generated by a,subgrup siklik yang dibangkitkan oleh a,"[""ttp.concept.unit_group"",""ttp.concept.multiplicative_order""]",mathematics/number-theory/cyclic_subgroup,"{""notes"":""Written `\\left<a\\right>` in the authority."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""algebra.cyclic_subgroup""}"
r014.backend.record,1.0.0,ttp.concept.decimal,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,decimal,decimal,desimal,"[""ttp.concept.base_representation""]",mathematics/number-theory/decimal,"{""path"":""qa/frozen-boundaries/boundary4/yaintt-id.tex"",""target_sha256"":""6579069bd8ca959042eaeba5b743d5eb4a3ed3e58828e55a827a30f0b0066859""}"
r014.backend.record,1.0.0,ttp.concept.decryption,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,decryption,decryption,dekripsi,[],computer-science/cryptography/decryption,"{""notes"":""Verb: `mendekripsi`."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.decryption""}"
r014.backend.record,1.0.0,ttp.concept.decryption_keyspace,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,decryption_keyspace,decryption keyspace,ruang kunci dekripsi,[],computer-science/cryptography/decryption_keyspace,"{""notes"":""Written `\\Kk_d`."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.decryption_keyspace""}"
r014.backend.record,1.0.0,ttp.concept.dh_public_parameters,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,dh_public_parameters,Diffie--Hellman public parameters,parameter publik Diffie--Hellman,[],computer-science/cryptography/dh_public_parameters,"{""notes"":""Here, the public prime modulus `p` and primitive root `r`."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.dh_public_parameters""}"
r014.backend.record,1.0.0,ttp.concept.dh_secret_exponent,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,dh_secret_exponent,Diffie--Hellman secret exponent,eksponen rahasia Diffie--Hellman,"[""ttp.concept.diffie_hellman_key_exchange"",""ttp.concept.fresh_randomness""]",computer-science/cryptography/dh_secret_exponent,"{""notes"":""In this full-group presentation, exclude the transparent endpoint choices `1` and `p-1`."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.dh_secret_exponent""}"
r014.backend.record,1.0.0,ttp.concept.diffie_hellman,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,diffie_hellman,Diffie-Hellman key exchange,pertukaran kunci Diffie-Hellman,"[""ttp.concept.key_exchange""]",mathematics/number-theory/diffie_hellman,"{""path"":""qa/frozen-boundaries/boundary3/yaintt-id.tex"",""target_sha256"":""695c071582bdee94a297987c820195b31fe808c16dbb1c0f07559e2b2ed73666""}"
r014.backend.record,1.0.0,ttp.concept.diffie_hellman_key_exchange,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,diffie_hellman_key_exchange,Diffie--Hellman key exchange (DHKE),pertukaran kunci Diffie--Hellman (DHKE),"[""ttp.concept.primitive_root"",""ttp.concept.discrete_logarithm_hardness""]",computer-science/cryptography/diffie_hellman_key_exchange,"{""notes"":""Protocol name; retain the conventional initialism and use a LaTeX en dash in the names."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.diffie_hellman_key_exchange""}"
r014.backend.record,1.0.0,ttp.concept.diffie_hellman_problem,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,diffie_hellman_problem,Diffie--Hellman problem (DHP),masalah Diffie--Hellman (DHP),"[""ttp.concept.diffie_hellman_key_exchange""]",computer-science/cryptography/diffie_hellman_problem,"{""notes"":""Given `r^x` and `r^y` in the stated group, compute `r^{xy}` without being given `x` or `y`."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""crypto.diffie_hellman_problem""}"
r014.backend.record,1.0.0,ttp.concept.digit,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,digit,digit,digit,"[""ttp.concept.base_representation""]",mathematics/number-theory/digit,"{""path"":""qa/frozen-boundaries/boundary4/yaintt-id.tex"",""target_sha256"":""6579069bd8ca959042eaeba5b743d5eb4a3ed3e58828e55a827a30f0b0066859""}"
r014.backend.record,1.0.0,ttp.concept.digital_certificate,concept,active,ttp.r014.yaintt,ttp.r014.yaintt,,und,2026-08-22T03:06:00+02:00,codex.r014.id-ID,,digital_certificate,digital certificate,sertifikat digital,"[""ttp.concept.certificate_authority"",""ttp.concept.public_key""]",computer-science/cryptography/digital_certificate,"{""notes"":""Signed structured statement binding subject identity, public key, and necessary metadata."",""path"":""qa/review-candidates/boundary28-r2/TERMINOLOGY.md"",""sha256"":""3e3fe31baa8565bbc54cd6d789570cac18ed469f68cf683f08dd639ef92d9bd1"",""terminology_id"":""pki.digital_certificate""}"
