schema,schema_version,record_id,entity_class,status,work_id,resource_id,edition_id,locale,created_at,responsible_workflow,supersedes,correction_type,authority_locator,source_text,target_text,rationale,evidence,upstream_report_disposition,affected_unit_ids,report_status
r014.backend.record,1.0.0,ttp.r014.correction.0011,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":628,""path"":""authority/downloads/yaintt.tex"",""start_line"":622}",only the integer $1$ has a,hanyalah $1$ dan $-1$,"Both 1 and -1 are units in Z, and each is its own multiplicative inverse.","{""adverse_ledger"":{""id"":""R014-ADV-0013"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.sec.aowi""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0012,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":685,""path"":""authority/downloads/yaintt.tex"",""start_line"":681}",\begin{proposition} $\forall a\in\ZZ$ we have $a\mid 0$.,Bind the nonzero-divisor domain in all three propositions.,"The section defines divisibility only for a nonzero divisor, so the proposition domains must retain that convention.","{""adverse_ledger"":{""id"":""R014-ADV-0014"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.sec.dada.proposition.zero"",""ttp.r014.unit.sec.dada.proposition.size"",""ttp.r014.unit.sec.dada.proposition.absolute-value""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0013,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":752,""path"":""authority/downloads/yaintt.tex"",""start_line"":742}",Consider the set $A=\{a-bk\geq 0 \mid k\in \ZZ\}$.,"A=\{a-bk\mid k\in\ZZ,\ a-bk\geq 0\}; least element of A",The original set-builder is malformed and 'least positive' excludes the valid zero remainder.,"{""adverse_ledger"":{""id"":""R014-ADV-0015"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.thm.the-da.proof""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0014,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":769,""path"":""authority/downloads/yaintt.tex"",""start_line"":767}","$-\max(r_1,r_2)\leq|r_2-r_1|",$0\leq|r_2-r_1|,The lower bound for an absolute value should be zero; the negative bound is vacuous.,"{""adverse_ledger"":{""id"":""R014-ADV-0016"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.thm.the-da.proof""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0015,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":819,""path"":""authority/downloads/yaintt.tex"",""start_line"":813}",Show that the square of every odd integer is of the form $8m+1$.,State explicitly that the parameter m is an integer in Exercises 9 and 10.,The exercise conclusions use an otherwise unbound parameter m.,"{""adverse_ledger"":{""id"":""R014-ADV-0017"",""path"":""backend/evidence/ADVERSE_LEDGER.md"",""sha256"":""bad63981382d3a2d8a6561e1691992aef3248f6d3c91886ed3601bc4ee20be45""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.sec.dada.exercise.09"",""ttp.r014.unit.sec.dada.exercise.10""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0016,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":915,""path"":""authority/downloads/yaintt.tex"",""start_line"":829}","\exists a_1,\dots,a_l\in\ZZ","Include $a_0$, permit $l\geq0$, state uniqueness, and handle the one-digit branch.","The theorem omits $a_0$ from its quantified digits and its proof assumes a positive-length quotient chain, so the zero-length expansion and uniqueness claim need explicit closure.","{""adverse_ledger"":{""id"":""R014-ADV-0018"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY4.md"",""sha256"":""f0b156c825ea3a86865203a4c2eff727eb72284fc03568f74a648cca10e19520""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.thm.basebexpansion"",""ttp.r014.unit.thm.basebexpansion.proof""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0017,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":913,""path"":""authority/downloads/yaintt.tex"",""start_line"":899}","If the two expansions are different, then there exists $0\leq j\leq",Choose the smallest differing index $j$ and restore the minus sign when isolating $a_j-c_j$.,"Without choosing the least differing index, factoring out $b^j$ discards lower-order terms; the displayed rearrangement also loses a minus sign.","{""adverse_ledger"":{""id"":""R014-ADV-0019"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY4.md"",""sha256"":""f0b156c825ea3a86865203a4c2eff727eb72284fc03568f74a648cca10e19520""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.thm.basebexpansion.proof""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0018,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":936,""path"":""authority/downloads/yaintt.tex"",""start_line"":917}",the sequences of digits,"Use the digit string $(m)_b=a_\ell\dots a_1a_0$, correct $a_j$, and require $\ell+1$ wires.","The definition omits the units digit, conflicts with the section notation, contains a missing subscript, and undercounts the wires required for digits indexed 0 through l.","{""adverse_ledger"":{""id"":""R014-ADV-0020"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY4.md"",""sha256"":""f0b156c825ea3a86865203a4c2eff727eb72284fc03568f74a648cca10e19520""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.def.baseb""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0019,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":1000,""path"":""authority/downloads/yaintt.tex"",""start_line"":997}","Two integers $a$ and $b$, not both $0$, can have only finitely many divisors","At least one input is nonzero and has finitely many divisors, so their common-divisor set is finite.",Zero has infinitely many divisors; only the common-divisor set is forced finite when the inputs are not both zero.,"{""adverse_ledger"":{""id"":""R014-ADV-0021"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY5.md"",""sha256"":""162e8861593298f87291d8b5c0495425ab0d2ba1b0815d3bf03ccd709f1e79f0""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.sec.gcd.discussion.01""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0020,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":1051,""path"":""authority/downloads/yaintt.tex"",""start_line"":1034}","If $a,b\in\ZZ$ have $\gcd(a,b)=d$ then $\gcd(a/d,b/d)=1$.","Exclude $(a,b)=(0,0)$ and bind the quotient witnesses in $\ZZ$.","The all-zero pair makes division by $d=0$ undefined, and quotient witnesses may be negative.","{""adverse_ledger"":{""id"":""R014-ADV-0022"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY5.md"",""sha256"":""162e8861593298f87291d8b5c0495425ab0d2ba1b0815d3bf03ccd709f1e79f0""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.thm.dividebygcd"",""ttp.r014.unit.thm.dividebygcd.proof""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0021,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":1104,""path"":""authority/downloads/yaintt.tex"",""start_line"":1096}","Assume without loss of generality that $a,b\in\NN$ are positive integers.","Use nonnegative absolute values, not both zero, and handle whichever input is positive.","Absolute values make the inputs nonnegative rather than both positive, so either input may be zero.","{""adverse_ledger"":{""id"":""R014-ADV-0023"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY5.md"",""sha256"":""162e8861593298f87291d8b5c0495425ab0d2ba1b0815d3bf03ccd709f1e79f0""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.thm.gcdislincomb.proof""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0022,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":1169,""path"":""authority/downloads/yaintt.tex"",""start_line"":1166}","For $n\in\NN$ and $a_1,\dots,a_n\in\ZZ$, if $a_1,a_2,\dots,a_n$ are pairwise",Require $n\geq 2$ before concluding mutual relative primality.,"For $n=1$, pairwise relative primality is vacuous and does not imply that $|a_1|=1$.","{""adverse_ledger"":{""id"":""R014-ADV-0024"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY5.md"",""sha256"":""162e8861593298f87291d8b5c0495425ab0d2ba1b0815d3bf03ccd709f1e79f0""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.sec.gcd.proposition.pairwise-implies-mutual""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0023,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":1265,""path"":""authority/downloads/yaintt.tex"",""start_line"":1240}","s_{j+1}=s_{j-1}-q_{j+1}s_j and \gcd(a,b)=r_n=s_{n+1}a+t_{n+1}b","Put remainders in the nonnegative integers, use s_{j+2}=s_j-q_{j+1}s_{j+1} and the analogous t recurrence, conclude r_n=s_na+t_nb, and state the terminal indexed recurrence uniformly.","The authority places the terminal zero remainder in NN, shifts the coefficient recurrences by one index, concludes with s_(n+1),t_(n+1), and uses an endpoint-expanded display that is not well formed when the algorithm stops at n=1 or n=2.","{""adverse_ledger"":{""id"":""R014-ADV-0025"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY6.md"",""sha256"":""439f2728e2bf3455b616bfc5fbc7e6d5a658ba86d7d6c1cbbb0411fcaf9cf49a""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.thm.euclideanalg"",""ttp.r014.unit.thm.euclideanalg.proof""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0024,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,editorial,"{""end_line"":1333,""path"":""authority/downloads/yaintt.tex"",""start_line"":1332}",when he was 24;a translation,ketika ia berusia 24 tahun; terjemahannya,Insert the missing separator after Gauss's age while translating.,"{""adverse_ledger"":{""id"":""R014-ADV-0026"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY7.md"",""sha256"":""e1e47594393f5154587c6cc02ae46c3298ba7ef3b37b94a22b4a28dcf0b220b5""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.chap.cs.discussion.01""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0025,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":1387,""path"":""authority/downloads/yaintt.tex"",""start_line"":1366}",a\equiv c\pmod m; a=c\pmod n,a\equiv c\pmod n in the statement and proof,The transitivity item uses an undefined modulus m and its proof concludes with equality notation instead of congruence.,"{""adverse_ledger"":{""id"":""R014-ADV-0027"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY7.md"",""sha256"":""e1e47594393f5154587c6cc02ae46c3298ba7ef3b37b94a22b4a28dcf0b220b5""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.thm.basiccongprops"",""ttp.r014.unit.thm.basiccongprops.proof""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0026,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":1458,""path"":""authority/downloads/yaintt.tex"",""start_line"":1455}",such that such that; (kc-lb)n,one sedemikian sehingga; (ck+bl)n,Remove duplicated words and correct the coefficient obtained by adding the two displayed identities.,"{""adverse_ledger"":{""id"":""R014-ADV-0028"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY7.md"",""sha256"":""e1e47594393f5154587c6cc02ae46c3298ba7ef3b37b94a22b4a28dcf0b220b5""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.thm.basiccongprops.proof""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0027,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":1543,""path"":""authority/downloads/yaintt.tex"",""start_line"":1539}",b=c\pmod n,b\equiv c\pmod n,The cancellation theorem must state congruence rather than equality modulo n.,"{""adverse_ledger"":{""id"":""R014-ADV-0029"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY7.md"",""sha256"":""e1e47594393f5154587c6cc02ae46c3298ba7ef3b37b94a22b4a28dcf0b220b5""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.thm.congcanc""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0028,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":1590,""path"":""authority/downloads/yaintt.tex"",""start_line"":1589}","x_j\pmod{x_j}; x_1,\dots,x_{(d-1)}","x_j\pmod n; x_0,\dots,x_{(d-1)}",Use modulus n and include the zero-class representative in the concluding list.,"{""adverse_ledger"":{""id"":""R014-ADV-0030"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY7.md"",""sha256"":""e1e47594393f5154587c6cc02ae46c3298ba7ef3b37b94a22b4a28dcf0b220b5""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.thm.numzerosmodafactor.proof""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0029,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":1644,""path"":""authority/downloads/yaintt.tex"",""start_line"":1632}",n\in\ZZ in the linear-congruence definition and following theorem,n\in\NN in both statements,"The authority's congruence notation was defined only for positive moduli, so zero and negative moduli fall outside its stated domain.","{""adverse_ledger"":{""id"":""R014-ADV-0031"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY8.md"",""sha256"":""5ca4cedea493e2688437cc5dd01db138e781e1d16c28f7dcee2eeed772f60f9b""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.def.linearcongruence"",""ttp.r014.unit.thm.linearcongruencesameclass""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0030,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":1652,""path"":""authority/downloads/yaintt.tex"",""start_line"":1651}",An algebraic equation whose constants and variables are all integers,a polynomial equation with integer coefficients whose solutions are sought in integers,Variables are not fixed integers; the standard definition constrains coefficients and the sought solutions.,"{""adverse_ledger"":{""id"":""R014-ADV-0032"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY8.md"",""sha256"":""5ca4cedea493e2688437cc5dd01db138e781e1d16c28f7dcee2eeed772f60f9b""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.def.diophantine""]",not_submitted
r014.backend.record,1.0.0,ttp.r014.correction.0031,correction,active,ttp.r014.yaintt,ttp.r014.yaintt,,mul,2026-08-21T13:53:00+02:00,codex.r014.id-ID,,mathematics,"{""end_line"":1688,""path"":""authority/downloads/yaintt.tex"",""start_line"":1686}",n\mid a(kp)=b,n\mid(a(kp)-b),"The displayed identity proves divisibility of the difference, which is the condition equivalent to the target congruence.","{""adverse_ledger"":{""id"":""R014-ADV-0033"",""path"":""backend/evidence/ADVERSE_LEDGER_BOUNDARY8.md"",""sha256"":""5ca4cedea493e2688437cc5dd01db138e781e1d16c28f7dcee2eeed772f60f9b""},""authority_sha256"":""d2967870a0d43de60c590a2bb40cee6915e7b6d68a0dd3ad574f64c7b6430829""}",candidate_for_single_final_upstream_report,"[""ttp.r014.unit.thm.basiclincongs.proof""]",not_submitted
